Date;P;Tmax;Tmin;Tmean;ET0;Qmm;NDSI1;NDSI2;NDSI3;NDSI4;NDSI5
2008-03-19;0.29163936;-12.039926;-19.09506;-15.5674925;0.028373035;0.2551748910766485;80.38237739;73.68936877;70.48120301;68.32891466;68.21594684
2008-03-20;4.1116557;-13.36811;-17.612625;-15.490368;0.020459913;0.2508498929228069;80.38237739;73.68936877;70.48120301;68.32891466;68.21594684
2008-03-21;7.0596724;-10.248589;-17.516426;-13.882508;0.160971449;0.2479665608202459;80.38237739;73.68936877;70.48120301;68.32891466;68.21594684
2008-03-22;0.0;-11.225955;-16.966072;-14.096013;0.142890397;0.2465248947689655;68.17290108;69.4833887;69.39766082;68.81855841;68.29734219
2008-03-23;1.9911803;-11.456721;-16.892942;-14.174831;0.000109378;0.2551748910766485;68.17290108;69.4833887;69.39766082;68.81855841;68.29734219
2008-03-24;4.346885;-13.133204;-18.41091;-15.772057;0.145297808;0.2508498929228069;67.77140482;69.00166113;68.893066;68.31648716;67.49003322
2008-03-25;4.0285573;-15.575954;-19.077879;-17.326918;0.001380199;0.2494082268715264;67.77140482;69.00166113;68.893066;68.31648716;67.49003322
2008-03-26;0.10121313;-9.008037;-17.277287;-13.142663;0.343550069;0.2407582305638435;67.77140482;68.11960133;68.34252297;68.21706711;67.49003322
2008-03-27;1.2560164;-5.7536573;-12.756818;-9.255238;0.991958957;0.2321082342561604;67.77140482;68.11960133;68.34252297;68.21706711;67.49003322
2008-03-28;0.27186885;-4.132082;-11.9548435;-8.043464;1.281313406;0.2349915663587214;65.82128013;66.17358804;65.06432749;63.29743165;64.1769103
2008-03-29;0.0;-3.7976902;-10.06649;-6.932091;1.087069266;0.2436415626664045;67.28844555;65.98089701;66.24895572;66.38193869;65.41112957
2008-03-30;0.0;0.52322745;-7.812688;-3.6447306;1.949609257;0.2724748836920145;78.50872818;77.45681063;74.95989975;73.10936205;70.28488372
2008-03-31;0.0;0.9752487;-5.1595125;-2.0921319;1.727759207;0.2724748836920145;78.50872818;77.45681063;74.95989975;73.10936205;70.46677741
2008-04-01;0.08255738;-1.5559031;-7.3607154;-4.458309;1.673412645;0.2609415552817705;78.50872818;77.45681063;74.95989975;73.37365369;76.36877076
2008-04-02;17.159721;-5.3382096;-10.167998;-7.753104;0.56809839;0.2724748836920145;78.50872818;77.45681063;74.95989975;73.37365369;76.36877076
2008-04-03;2.174574;-9.28152;-11.725393;-10.503457;0.648500679;0.2883332102561;78.50872818;77.45681063;74.95989975;73.37365369;76.36877076
2008-04-04;0.090049185;-7.457059;-12.06155;-9.759304;0.531364803;0.2868915442048195;75.09891937;74.23504983;72.6182122;70.24109362;70.01827243
2008-04-05;0.35740986;-6.8959737;-13.602453;-10.249214;0.673606479;0.285449878153539;75.09891937;74.23504983;72.6182122;70.24109362;70.01827243
2008-04-06;16.420279;-6.645477;-11.045765;-8.845621;0.735538751;0.279683213948417;75.09891937;74.23504983;72.6182122;70.24109362;70.01827243
2008-04-07;0.36213115;-7.9819703;-15.563347;-11.772658;0.42393065;0.2724748836920145;75.09891937;74.23504983;72.6182122;70.24109362;70.01827243
2008-04-08;0.0;-2.4916906;-11.9774475;-7.234569;1.499613882;0.2883332102561;75.09891937;74.23504983;72.6182122;70.24109362;70.01827243
2008-04-09;0.59475404;-2.2064805;-6.4471292;-4.3268046;1.346627737;0.305633202871466;75.09891937;74.23504983;72.6182122;70.24109362;70.01827243
2008-04-10;3.1766393;-0.7481392;-4.8346167;-2.791378;1.351766592;0.369066509127808;75.09891937;74.23504983;72.6182122;70.24109362;70.01827243
2008-04-11;19.88987;-0.780077;-6.7097697;-3.7449229;1.371681211;0.533416438973785;75.09891937;74.23504983;72.6182122;70.24109362;70.01827243
2008-04-12;0.80698365;-3.2086303;-9.930221;-6.569426;1.100605519;0.5262081087173824;75.09891937;74.23504983;72.6182122;70.24109362;70.01827243
